tensor_index,sample_id,start_date,end_date,input_coverage,n_input_present,n_input_possible,n_targets
30,seq_2021-07-15_2021-10-03,2021-07-15,2021-10-03,0.4704644215100489,6929,14728,20
31,seq_2021-07-20_2021-10-08,2021-07-20,2021-10-08,0.4573601303639326,6736,14728,18
32,seq_2021-07-30_2021-10-13,2021-07-30,2021-10-13,0.4021591526344378,5923,14728,27
33,seq_2021-08-04_2021-10-18,2021-08-04,2021-10-18,0.4459532862574688,6568,14728,26
34,seq_2021-09-03_2021-10-28,2021-09-03,2021-10-28,0.5113389462248777,7531,14728,20
35,seq_2021-09-13_2021-11-02,2021-09-13,2021-11-02,0.4650325909831613,6849,14728,21
36,seq_2021-09-18_2021-11-07,2021-09-18,2021-11-07,0.492123845736013,7248,14728,22
37,seq_2021-10-03_2021-11-27,2021-10-03,2021-11-27,0.5164312873438349,7606,14728,26
38,seq_2021-10-08_2021-12-02,2021-10-08,2021-12-02,0.4763715372080391,7016,14728,26
39,seq_2021-10-13_2022-01-16,2021-10-13,2022-01-16,0.4780689842476914,7041,14728,18
40,seq_2021-10-18_2022-02-20,2021-10-18,2022-02-20,0.4163498098859315,6132,14728,22
41,seq_2021-10-28_2022-04-06,2021-10-28,2022-04-06,0.4013443780554047,5911,14728,29
42,seq_2021-11-02_2022-04-21,2021-11-02,2022-04-21,0.3603340575774036,5307,14728,27
43,seq_2021-11-07_2022-04-26,2021-11-07,2022-04-26,0.3654263986963607,5382,14728,28
44,seq_2021-11-27_2022-05-11,2021-11-27,2022-05-11,0.3812466051059207,5615,14728,26
45,seq_2021-12-02_2022-06-05,2021-12-02,2022-06-05,0.4236148832156436,6239,14728,24
46,seq_2022-01-16_2022-06-15,2022-01-16,2022-06-15,0.4124796306355242,6075,14728,21
47,seq_2022-02-20_2022-07-07,2022-02-20,2022-07-07,0.3358908202064095,4947,14728,23
48,seq_2022-04-06_2022-07-30,2022-04-06,2022-07-30,0.3582292232482346,5276,14728,28
49,seq_2022-04-21_2022-08-24,2022-04-21,2022-08-24,0.4466322650733297,6578,14728,29
50,seq_2022-04-26_2022-08-29,2022-04-26,2022-08-29,0.4082699619771863,6013,14728,30
51,seq_2022-05-11_2022-09-03,2022-05-11,2022-09-03,0.3682781097229766,5424,14728,26
52,seq_2022-06-05_2022-09-08,2022-06-05,2022-09-08,0.3593834872351982,5293,14728,28
53,seq_2022-06-15_2022-09-13,2022-06-15,2022-09-13,0.3046577946768061,4487,14728,26
54,seq_2022-07-07_2022-09-23,2022-07-07,2022-09-23,0.3665127648017381,5398,14728,23
55,seq_2022-07-30_2022-10-03,2022-07-30,2022-10-03,0.4636067354698533,6828,14728,26
56,seq_2022-08-24_2022-12-22,2022-08-24,2022-12-22,0.5101846822379141,7514,14728,27
57,seq_2022-08-29_2023-01-06,2022-08-29,2023-01-06,0.4371265616512765,6438,14728,30
58,seq_2022-09-03_2023-01-16,2022-09-03,2023-01-16,0.4721618685497012,6954,14728,28
59,seq_2022-09-08_2023-01-26,2022-09-08,2023-01-26,0.5520776751765345,8131,14728,27
60,seq_2022-09-13_2023-02-05,2022-09-13,2023-02-05,0.5762493210211841,8487,14728,25
61,seq_2022-09-23_2023-02-10,2022-09-23,2023-02-10,0.611420423682781,9005,14728,24
62,seq_2022-10-03_2023-02-25,2022-10-03,2023-02-25,0.560361216730038,8253,14728,29
63,seq_2022-12-22_2023-03-02,2022-12-22,2023-03-02,0.5139190657251493,7569,14728,30
64,seq_2023-01-06_2023-03-17,2023-01-06,2023-03-17,0.489951113525258,7216,14728,30
65,seq_2023-01-16_2023-04-01,2023-01-16,2023-04-01,0.4963335143943509,7310,14728,30
66,seq_2023-01-26_2023-05-01,2023-01-26,2023-05-01,0.5332699619771863,7854,14728,29
67,seq_2023-02-05_2023-05-11,2023-02-05,2023-05-11,0.4815317762085823,7092,14728,23
68,seq_2023-02-10_2023-05-31,2023-02-10,2023-05-31,0.4405214557305812,6488,14728,27
69,seq_2023-02-25_2023-06-10,2023-02-25,2023-06-10,0.4257197175448126,6270,14728,27
70,seq_2023-03-02_2023-06-20,2023-03-02,2023-06-20,0.4703965236284628,6928,14728,29
71,seq_2023-03-17_2023-07-10,2023-03-17,2023-07-10,0.4242938620315046,6249,14728,29
72,seq_2023-04-01_2023-07-15,2023-04-01,2023-07-15,0.4129549158066268,6082,14728,27
73,seq_2023-05-01_2023-07-20,2023-05-01,2023-07-20,0.486352525801195,7163,14728,27
74,seq_2023-05-11_2023-08-04,2023-05-11,2023-08-04,0.4613661053775122,6795,14728,27
75,seq_2023-05-31_2023-08-14,2023-05-31,2023-08-14,0.4327810972297664,6374,14728,27
76,seq_2023-06-10_2023-08-19,2023-06-10,2023-08-19,0.4128870179250407,6081,14728,26
77,seq_2023-06-20_2023-08-29,2023-06-20,2023-08-29,0.4769826181423139,7025,14728,28
78,seq_2023-07-10_2023-09-08,2023-07-10,2023-09-08,0.3788022813688212,5579,14728,28
79,seq_2023-07-15_2023-09-13,2023-07-15,2023-09-13,0.4872351982618142,7176,14728,26
80,seq_2023-07-20_2023-09-23,2023-07-20,2023-09-23,0.5105241716458446,7519,14728,30
81,seq_2023-08-04_2023-10-13,2023-08-04,2023-10-13,0.4500271591526344,6628,14728,30
82,seq_2023-08-14_2023-10-18,2023-08-14,2023-10-18,0.4019554589896795,5920,14728,28
83,seq_2023-08-19_2023-10-23,2023-08-19,2023-10-23,0.4352933188484519,6411,14728,29
84,seq_2023-08-29_2023-11-27,2023-08-29,2023-11-27,0.4847908745247148,7140,14728,28
85,seq_2023-09-08_2023-12-07,2023-09-08,2023-12-07,0.3750678978815861,5524,14728,29
86,seq_2023-09-13_2024-01-06,2023-09-13,2024-01-06,0.4599402498642042,6774,14728,30
87,seq_2023-09-23_2024-01-11,2023-09-23,2024-01-11,0.4024307441607822,5927,14728,26
88,seq_2023-10-13_2024-01-16,2023-10-13,2024-01-16,0.401615969581749,5915,14728,30
89,seq_2023-10-18_2024-01-26,2023-10-18,2024-01-26,0.4386882129277566,6461,14728,33
90,seq_2023-10-23_2024-01-31,2023-10-23,2024-01-31,0.5247148288973384,7728,14728,33
91,seq_2023-11-27_2024-02-15,2023-11-27,2024-02-15,0.6026615969581749,8876,14728,28
92,seq_2023-12-07_2024-02-20,2023-12-07,2024-02-20,0.573940793047257,8453,14728,25
93,seq_2024-01-06_2024-02-25,2024-01-06,2024-02-25,0.6480852797392721,9545,14728,28
94,seq_2024-01-11_2024-03-16,2024-01-11,2024-03-16,0.6628870179250408,9763,14728,28
95,seq_2024-01-16_2024-03-26,2024-01-16,2024-03-26,0.611352525801195,9004,14728,27
96,seq_2024-01-26_2024-04-05,2024-01-26,2024-04-05,0.5525529603476371,8138,14728,28
97,seq_2024-01-31_2024-04-10,2024-01-31,2024-04-10,0.5399918522542096,7953,14728,33
98,seq_2024-02-15_2024-04-20,2024-02-15,2024-04-20,0.4553910917979359,6707,14728,27
99,seq_2024-02-20_2024-04-30,2024-02-20,2024-04-30,0.4370586637696904,6437,14728,24
100,seq_2024-02-25_2024-05-30,2024-02-25,2024-05-30,0.3879005975013579,5713,14728,28
101,seq_2024-03-16_2024-06-09,2024-03-16,2024-06-09,0.3422053231939163,5040,14728,27
102,seq_2024-04-05_2024-06-29,2024-04-05,2024-06-29,0.2950841933731667,4346,14728,27
103,seq_2024-04-10_2024-07-29,2024-04-10,2024-07-29,0.4193373166757197,6176,14728,30
104,seq_2024-04-20_2024-08-08,2024-04-20,2024-08-08,0.367123845736013,5407,14728,29
105,seq_2024-04-30_2024-08-13,2024-04-30,2024-08-13,0.3718766974470396,5477,14728,28
106,seq_2024-05-30_2024-08-18,2024-05-30,2024-08-18,0.4016838674633351,5916,14728,30
107,seq_2024-06-09_2024-08-23,2024-06-09,2024-08-23,0.4414720260727865,6502,14728,30
108,seq_2024-06-24_2024-08-28,2024-06-24,2024-08-28,0.5293997827267789,7797,14728,30
109,seq_2024-06-29_2024-09-02,2024-06-29,2024-09-02,0.6106056491037479,8993,14728,30
110,seq_2024-07-29_2024-09-12,2024-07-29,2024-09-12,0.6229630635524172,9175,14728,30
111,seq_2024-08-08_2024-09-17,2024-08-08,2024-09-17,0.6151548071700162,9060,14728,30
112,seq_2024-08-13_2024-10-02,2024-08-13,2024-10-02,0.667368278109723,9829,14728,29
113,seq_2024-08-18_2024-10-12,2024-08-18,2024-10-12,0.7487778381314503,11028,14728,23
114,seq_2024-08-23_2024-10-17,2024-08-23,2024-10-17,0.7153720803910918,10536,14728,25
115,seq_2024-08-28_2024-11-06,2024-08-28,2024-11-06,0.757944052145573,11163,14728,12
116,seq_2024-09-02_2024-12-01,2024-09-02,2024-12-01,0.7190385659967409,10590,14728,16
117,seq_2024-09-12_2024-12-11,2024-09-12,2024-12-11,0.6912004345464422,10180,14728,24
118,seq_2024-09-17_2024-12-16,2024-09-17,2024-12-16,0.6548071700162955,9644,14728,23
